epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.0347,3.39262,0.1,0.36154,3.14786,0.000110146,0.000110146,0.000110146
2,31.2208,3.20287,0.25192,0.62885,2.51241,0.000218957,0.000218957,0.000218957
3,45.2612,2.82145,0.54808,0.91346,1.54619,0.00032557,0.00032557,0.00032557
4,56.5169,2.28113,0.84231,1,0.55625,0.00032311,0.00032311,0.00032311
5,67.4419,1.81709,0.93269,1,0.24806,0.000319813,0.000319813,0.000319813
6,77.8852,1.4725,0.87115,1,0.261,0.000316517,0.000316517,0.000316517
7,88.7741,1.26745,0.92692,1,0.16063,0.00031322,0.00031322,0.00031322
8,99.2347,1.21242,0.92308,1,0.14765,0.000309923,0.000309923,0.000309923
9,110.111,1.05966,0.95962,1,0.15119,0.000306626,0.000306626,0.000306626
10,120.32,1.02823,1,1,0.12144,0.00030333,0.00030333,0.00030333
11,130.91,0.9613,0.99231,1,0.11995,0.000300033,0.000300033,0.000300033
12,141.332,0.91138,0.99231,1,0.10318,0.000296736,0.000296736,0.000296736
13,151.936,0.91467,1,1,0.10758,0.00029344,0.00029344,0.00029344
14,162.734,0.86838,0.96154,1,0.11262,0.000290143,0.000290143,0.000290143
15,173.5,0.87885,0.99231,1,0.07664,0.000286846,0.000286846,0.000286846
16,184.881,0.8346,1,1,0.05671,0.00028355,0.00028355,0.00028355
17,195.682,0.82845,1,1,0.05554,0.000280253,0.000280253,0.000280253
18,206.455,0.86146,0.93462,1,0.10217,0.000276956,0.000276956,0.000276956
19,217.064,0.8062,0.96154,1,0.08392,0.000273659,0.000273659,0.000273659
20,227.698,0.80085,1,1,0.0446,0.000270363,0.000270363,0.000270363
21,238.588,0.80775,1,1,0.04454,0.000267066,0.000267066,0.000267066
22,249.336,0.77004,1,1,0.03837,0.000263769,0.000263769,0.000263769
23,260.19,0.71504,1,1,0.03446,0.000260473,0.000260473,0.000260473
24,270.919,0.7682,1,1,0.04336,0.000257176,0.000257176,0.000257176
25,281.51,0.69841,1,1,0.02897,0.000253879,0.000253879,0.000253879
26,292.377,0.69847,1,1,0.0235,0.000250583,0.000250583,0.000250583
27,303.041,0.72234,1,1,0.02827,0.000247286,0.000247286,0.000247286
28,313.87,0.67043,1,1,0.0204,0.000243989,0.000243989,0.000243989
29,324.572,0.72493,1,1,0.03091,0.000240692,0.000240692,0.000240692
30,335.281,0.67829,1,1,0.01933,0.000237396,0.000237396,0.000237396
31,346.013,0.63777,1,1,0.02765,0.000234099,0.000234099,0.000234099
32,357.081,0.71518,1,1,0.03146,0.000230802,0.000230802,0.000230802
33,370.494,0.72348,1,1,0.02276,0.000227506,0.000227506,0.000227506
34,383.012,0.67106,1,1,0.01636,0.000224209,0.000224209,0.000224209
35,396.684,0.72419,1,1,0.01421,0.000220912,0.000220912,0.000220912
36,411.731,0.71698,1,1,0.01404,0.000217616,0.000217616,0.000217616
37,426.758,0.66422,1,1,0.01582,0.000214319,0.000214319,0.000214319
38,443.147,0.64249,1,1,0.01429,0.000211022,0.000211022,0.000211022
39,457.086,0.65611,1,1,0.0137,0.000207725,0.000207725,0.000207725
40,472.206,0.6342,1,1,0.01378,0.000204429,0.000204429,0.000204429
41,486.465,0.66248,1,1,0.01241,0.000201132,0.000201132,0.000201132
42,501.947,0.67823,1,1,0.00832,0.000197835,0.000197835,0.000197835
43,516.578,0.6937,1,1,0.01026,0.000194539,0.000194539,0.000194539
44,530.983,0.65999,1,1,0.01079,0.000191242,0.000191242,0.000191242
45,544.844,0.59996,1,1,0.01192,0.000187945,0.000187945,0.000187945
46,559.061,0.66932,1,1,0.00894,0.000184649,0.000184649,0.000184649
47,572.681,0.63631,1,1,0.01096,0.000181352,0.000181352,0.000181352
48,586.67,0.59295,1,1,0.00711,0.000178055,0.000178055,0.000178055
49,601.175,0.64517,1,1,0.01093,0.000174758,0.000174758,0.000174758
50,614.839,0.63402,1,1,0.00764,0.000171462,0.000171462,0.000171462
51,628.608,0.56205,1,1,0.00806,0.000168165,0.000168165,0.000168165
52,643.139,0.61881,1,1,0.00641,0.000164868,0.000164868,0.000164868
53,656.536,0.64204,1,1,0.00808,0.000161572,0.000161572,0.000161572
54,669.44,0.61108,1,1,0.00749,0.000158275,0.000158275,0.000158275
55,682.527,0.59364,1,1,0.00787,0.000154978,0.000154978,0.000154978
56,695.504,0.64175,1,1,0.00751,0.000151682,0.000151682,0.000151682
57,707.928,0.62871,1,1,0.00478,0.000148385,0.000148385,0.000148385
58,720.414,0.59693,1,1,0.00604,0.000145088,0.000145088,0.000145088
59,733.812,0.57698,1,1,0.00888,0.000141791,0.000141791,0.000141791
60,746.249,0.6464,1,1,0.00704,0.000138495,0.000138495,0.000138495
61,758.515,0.61523,1,1,0.00821,0.000135198,0.000135198,0.000135198
62,771.059,0.57848,1,1,0.00695,0.000131901,0.000131901,0.000131901
63,784.102,0.59555,1,1,0.00691,0.000128605,0.000128605,0.000128605
64,796.683,0.60206,1,1,0.00633,0.000125308,0.000125308,0.000125308
65,808.799,0.59568,1,1,0.00634,0.000122011,0.000122011,0.000122011
66,821.412,0.58863,1,1,0.00679,0.000118714,0.000118714,0.000118714
67,834.555,0.57425,1,1,0.00628,0.000115418,0.000115418,0.000115418
68,847.711,0.57327,1,1,0.00648,0.000112121,0.000112121,0.000112121
69,860.634,0.59709,1,1,0.00457,0.000108824,0.000108824,0.000108824
70,875.243,0.59011,1,1,0.00519,0.000105528,0.000105528,0.000105528
71,888.557,0.60882,1,1,0.00419,0.000102231,0.000102231,0.000102231
72,901.791,0.6135,1,1,0.00425,9.89343e-05,9.89343e-05,9.89343e-05
73,914.753,0.54987,1,1,0.00546,9.56376e-05,9.56376e-05,9.56376e-05
74,928.039,0.57715,1,1,0.00519,9.23409e-05,9.23409e-05,9.23409e-05
75,941.534,0.57899,1,1,0.00454,8.90442e-05,8.90442e-05,8.90442e-05
76,955.219,0.58387,1,1,0.00507,8.57475e-05,8.57475e-05,8.57475e-05
77,968.558,0.56369,1,1,0.00532,8.24508e-05,8.24508e-05,8.24508e-05
78,982.956,0.57856,1,1,0.00576,7.91541e-05,7.91541e-05,7.91541e-05
79,995.065,0.56498,1,1,0.00483,7.58574e-05,7.58574e-05,7.58574e-05
80,1007.16,0.56673,1,1,0.00486,7.25607e-05,7.25607e-05,7.25607e-05
