epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
81,1019.43,0.57503,1,1,0.00405,6.9264e-05,6.9264e-05,6.9264e-05
82,1031.93,0.59329,1,1,0.00438,6.59673e-05,6.59673e-05,6.59673e-05
83,1044.73,0.61037,1,1,0.0044,6.26706e-05,6.26706e-05,6.26706e-05
84,1057.21,0.58879,1,1,0.00444,5.93739e-05,5.93739e-05,5.93739e-05
85,1069.7,0.60188,1,1,0.00486,5.60772e-05,5.60772e-05,5.60772e-05
86,1082.36,0.57231,1,1,0.00375,5.27805e-05,5.27805e-05,5.27805e-05
87,1094.82,0.59323,1,1,0.00415,4.94838e-05,4.94838e-05,4.94838e-05
88,1107.58,0.55129,1,1,0.00427,4.61871e-05,4.61871e-05,4.61871e-05
89,1120.23,0.57277,1,1,0.00418,4.28904e-05,4.28904e-05,4.28904e-05
90,1133.69,0.5749,1,1,0.00396,3.95937e-05,3.95937e-05,3.95937e-05
91,1238.45,0.54896,1,1,0.00356,3.6297e-05,3.6297e-05,3.6297e-05
92,1251.95,0.56057,1,1,0.00303,3.30003e-05,3.30003e-05,3.30003e-05
93,1264.88,0.60536,1,1,0.00314,2.97036e-05,2.97036e-05,2.97036e-05
94,1277.89,0.55805,1,1,0.00349,2.64069e-05,2.64069e-05,2.64069e-05
95,1290.65,0.53704,1,1,0.00354,2.31102e-05,2.31102e-05,2.31102e-05
96,1303.49,0.54296,1,1,0.00364,1.98135e-05,1.98135e-05,1.98135e-05
97,1316.48,0.58835,1,1,0.0036,1.65168e-05,1.65168e-05,1.65168e-05
98,1329.09,0.55472,1,1,0.00334,1.32201e-05,1.32201e-05,1.32201e-05
99,1342.06,0.54631,1,1,0.0036,9.9234e-06,9.9234e-06,9.9234e-06
100,1354.81,0.56603,1,1,0.00342,6.6267e-06,6.6267e-06,6.6267e-06
