epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,88.2797,3.3941,0.075,0.325,3.13695,0.000110146,0.000110146,0.000110146
2,99.4316,3.20706,0.18846,0.55962,2.6983,0.000199253,0.000199253,0.000199253
3,108.705,2.92029,0.43846,0.91538,1.89005,0.000266381,0.000266381,0.000266381
4,117.292,2.49707,0.73462,1,0.89737,0.000234099,0.000234099,0.000234099
5,125.751,2.13148,0.91346,1,0.41069,0.000201132,0.000201132,0.000201132
6,134.916,1.84665,0.98462,1,0.25248,0.000168165,0.000168165,0.000168165
7,143.976,1.61054,0.93077,1,0.21113,0.000135198,0.000135198,0.000135198
8,154.134,1.4463,0.91346,1,0.20284,0.000102231,0.000102231,0.000102231
9,164.155,1.33572,0.97692,1,0.17764,6.9264e-05,6.9264e-05,6.9264e-05
10,174.596,1.31076,0.95769,1,0.16596,3.6297e-05,3.6297e-05,3.6297e-05
